CITY,Total Pop,HL%,HL,PERCENTWIN,TURNOUT,PERCENTWIN NORMALIZED,ELXNYR,DIST,BEFORE
0,731,21.47742818,0,55.45722714,46.0496614,94.44223291,2014,0,1
0,1471.1367,31.51827427,0,57.59493671,55.42986425,98.08269738,2014,0,1
0,1519.9549,12.58467603,0,57.53176044,48.37027379,97.97510981,2014,0,1
0,2596,86.32511556,1,46.96969697,20.16129032,79.98818711,2014,0,1
0,1665.3528,12.91866204,0,58.30508475,41.55206287,99.29206124,2014,0,1
0,2233.9384,60.45830539,1,51.67286245,27.03533026,87.99755708,2014,0,1
0,1759.0616,19.86278934,0,52.14384509,46.50205761,88.79962841,2014,0,1
0,958.0002,18.26721957,0,61.19631902,57.92592593,104.2157589,2014,0,1
0,1618.0391,32.39561393,0,60.93229745,55.45545546,103.766137,2014,0,1
0,1535.4445,30.25828677,0,69.54474097,49.39320388,118.432907,2014,0,1
0,961.5285,22.05506129,0,63.42342342,63.75227687,108.0084605,2014,0,1
0,1626.6467,25.05459237,0,61.21134021,49.23547401,104.2413396,2014,0,1
0,1361,20.35268185,0,67.44548287,48.35294118,114.8579244,2014,0,1
0,1811.6492,51.3319466,1,59.72540046,40.20926756,101.7108224,2014,0,1
0,3290.522,36.32734867,0,48.57142857,23.13681869,82.71589487,2014,0,1
0,343,21.86588921,0,48.14814815,26.19047619,81.99505918,2014,0,1
0,918.4163,10.20451183,0,60.18306636,50.99818512,102.4902157,2014,0,1
0,2277,48.70443566,0,58.24742268,27.62119504,99.19386422,2014,0,1
0,1544.8355,34.89953461,0,60.80246914,45.93023256,103.5450427,2014,0,1
0,1163.8565,34.03039808,0,52.92479109,41.62062615,90.12955938,2014,0,1
0,3207.8507,30.18373018,0,50.82174463,35.47094188,86.54812529,2014,0,1
0,1471.3648,14.29007952,0,59.56618465,50.6345733,101.439682,2014,0,1
0,1731.0076,11.51599797,0,58.01217039,52.08510638,98.79323561,2014,0,1
0,4028.2725,42.48548975,0,59.54987835,53.15926893,101.4119128,2014,0,1
0,432.6292,14.56115306,0,63.15240084,58.53889943,107.546916,2014,0,1
0,514.0564,14.30529802,0,66.17790811,55.22001726,112.6992771,2014,0,1
0,2179.8645,12.08373273,0,68.32092639,58.86909373,116.3487822,2014,0,1
